"","Sport","Walk","Travel","Fish","Gender","Age","Marital.St","Prof"
"11000210","1","1","1","0","F","(55,65]","Married","Management"
"11000610","0","0","1","0","F","(25,35]","Remarried","Management"
"11000810","0","1","0","0","M","(55,65]","Married","Employee"
"11000910","0","0","0","0","M","(45,55]","Married","Manual labourer"
"11001010","1","0","0","0","M","(35,45]","Married","Employee"
"11001210","1","1","1","0","F","(35,45]","Single","Management"
"11001310","0","0","0","0","F","(25,35]","Single","Employee"
"11001410","1","0","0","0","F","[15,25]","Single","Employee"
"11001910","0","1","1","0","F","(75,85]","Divorcee","Management"
"11002110","1","0","1","0","F","(35,45]","Married","Employee"
"11003210","0","0","0","0","F","(45,55]","Married","Employee"
"11003410","0","0","0","0","F","(45,55]","Married","Employee"
"11003510","0","0","1","0","M","(65,75]","Married","Foreman"
"11003610","1","0","1","0","M","(25,35]","Single","Management"
"11003710","1","0","1","1","M","(45,55]","Remarried","Management"
"11003810","0","0","0","0","M","(45,55]","Married","Employee"
"11004010","1","1","1","0","F","(25,35]","Single","Management"
"11004210","1","1","1","0","F","(25,35]","Single","Management"
"11004810","1","1","1","0","F","(35,45]","Single","Employee"
"11005310","1","0","1","0","F","(45,55]","Married","Management"
"11005810","0","0","0","0","M","(35,45]","Single","Management"
"11006010","0","1","1","0","F","(25,35]","Single","Management"
"11006910","0","0","1","0","F","(45,55]","Single","Management"
"11007010","0","1","1","0","M","(35,45]","Remarried","Other"
"11007110","1","0","1","1","F","(25,35]","Single","Management"
"11007210","1","1","1","0","M","(25,35]","Single","Management"
"11007510","0","1","0","0","M","(35,45]","Married","Management"
"11007610","0","0","0","0","F","(65,75]","Married","Employee"
"11007710","0","0","0","0","M","[15,25]","Single","Manual labourer"
"11007810","0","0","1","0","F","(45,55]","Divorcee","Management"
"11008210","0","0","0","0","F","(85,100]","Widower","Employee"
"11008810","0","1","0","0","F","(45,55]","Divorcee","Employee"
"11008910","0","0","0","0","M","(75,85]","Widower","Management"
"11009110","1","0","1","0","M","(55,65]","Remarried","Management"
"11009210","0","0","0","0","M","(45,55]","Married","Unskilled worker"
"11009610","1","0","1","1","F","(35,45]","Single","Management"
"11009710","1","1","1","0","F","(35,45]","Married","Management"
"11009810","0","1","0","0","M","(25,35]","Married","Other"
"11009910","1","0","0","0","M","(65,75]","Married","Management"
"11010410","0","0","1","0","M","(45,55]","Married","Unskilled worker"
"11010710","1","1","1","0","F","(45,55]","Single","Employee"
"11010910","1","0","1","0","M","(45,55]","Divorcee","Unskilled worker"
"11011210","0","1","0","0","F","(45,55]","Married","Employee"
"11011410","1","0","1","0","M","(25,35]","Single","Management"
"11011610","0","0","0","0","F","(25,35]","Divorcee","Unskilled worker"
"11011910","1","0","1","0","F","(35,45]","Married","Management"
"11012310","1","1","1","0","F","[15,25]","Single","Management"
"11012410","1","1","0","0","M","(55,65]","Divorcee","Management"
"11012710","0","1","0","0","F","(35,45]","Single","Employee"
"11012910","0","0","0","0","F","(35,45]","Divorcee","Employee"
"11013010","0","1","1","0","F","(55,65]","Married","Employee"
"11013210","0","1","1","0","M","(35,45]","Single","Management"
"11013310","0","0","1","0","M","(35,45]","Single","Employee"
"11013610","0","1","1","0","M","(65,75]","Widower","Management"
"11014210","1","1","1","0","F","(25,35]","Single","Management"
"11014610","1","0","1","0","M","(25,35]","Single","Management"
"11015810","1","1","0","0","F","(25,35]","Single","Technician"
"11015910","1","0","0","0","M","(35,45]","Single","Management"
"11016010","0","1","0","0","M","(65,75]","Single","Technician"
"11016210","0","1","0","0","M","(55,65]","Single","Technician"
"11016410","1","1","1","0","F","(35,45]","Single","Management"
"11016710","0","0","0","0","F","(55,65]","Divorcee","Technician"
"11016810","0","0","0","0","F","(45,55]","Single","Employee"
"11017010","0","0","0","0","F","(65,75]","Divorcee","Employee"
"11017210","0","0","0","0","F","(45,55]","Married","Employee"
"11017310","0","1","0","0","M","(65,75]","Married","Management"
"11017410","1","0","1","0","M","(35,45]","Single","Foreman"
"11017510","0","0","1","0","M","(55,65]","Married","Management"
"11017710","1","1","1","0","M","(25,35]","Single","Management"
"11018810","0","0","1","0","F","(65,75]","Divorcee","Employee"
"11019410","1","1","1","1","M","(25,35]","Married","Management"
"11019610","0","1","1","0","M","(35,45]","Married","Management"
"11019810","0","1","0","0","M","(35,45]","Single","Foreman"
"11019910","0","1","1","0","F","(25,35]","Married","Employee"
"11020110","1","1","1","0","F","[15,25]","Single","Employee"
