"Read","L.Music","Cinema","Show","Exhib","Comp","Sport","Walk","Travel","Play.M","Collect","Volunteer","Mech","Garden","Knitt","Cook","Fish","TV","Gender","Age","Marital.St","Prof","N.Act"
"1","1","1","1","1","0","1","1","1","0","0","1","1","0","0","0","0","2","F","(55,65]","Married","Management","11"
"1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","4","F","(25,35]","Remarried","Management","5"
"1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3","M","(55,65]","Married","Employee","6"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","M","(45,55]","Married","Manual labourer","2"
"0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","3","M","(35,45]","Married","Employee","5"
"1","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","F","(35,45]","Single","Management","10"
"1","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","F","(25,35]","Single","Employee","8"
"1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","F","[15,25]","Single","Employee","4"
"1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","2","F","(75,85]","Divorcee","Management","8"
"1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","3","F","(35,45]","Married","Employee","9"
"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(45,55]","Married","Employee","3"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","F","(45,55]","Married","Employee","1"
"1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","3","M","(65,75]","Married","Foreman","6"
"1","1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","0","1","M","(25,35]","Single","Management","11"
"1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","1","1","2","M","(45,55]","Remarried","Management","12"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","M","(45,55]","Married","Employee","1"
"1","1","1","0","0","1","1","1","1","1","0","0","1","0","0","1","0","3","F","(25,35]","Single","Management","11"
"1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","4","F","(25,35]","Single","Management","11"
"1","1","1","1","1","0","1","1","1","1","0","1","0","0","0","0","0","0","F","(35,45]","Single","Employee","10"
"1","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","0","2","F","(45,55]","Married","Management","11"
"1","1","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","2","M","(35,45]","Single","Management","9"
"1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","0","2","F","(25,35]","Single","Management","11"
"1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","2","F","(45,55]","Single","Management","8"
"1","1","1","1","1","0","0","1","1","0","1","0","1","0","0","0","0","1","M","(35,45]","Remarried","Other","10"
"1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","2","F","(25,35]","Single","Management","11"
"1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2","M","(25,35]","Single","Management","10"
